"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-01","2014","01","01","","-0.7","","-9.6","","-5.2","","23.2","","0.0","","","M","","M","0.5","","18","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-02","2014","01","02","","8.3","","-9.7","","-0.7","","18.7","","0.0","","","M","","M","0.0","","17","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-03","2014","01","03","","2.7","","-10.9","","-4.1","","22.1","","0.0","","","M","","M","2.6","","13","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-04","2014","01","04","","-10.9","","-22.1","","-16.5","","34.5","","0.0","","","M","","M","0.7","","13","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-05","2014","01","05","","-14.4","","-25.5","","-20.0","","38.0","","0.0","","","M","","M","0.0","","13","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-06","2014","01","06","","3.6","","-14.7","","-5.6","","23.6","","0.0","","","M","","M","0.0","","13","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-07","2014","01","07","","-3.0","","-9.8","","-6.4","","24.4","","0.0","","","M","","M","0.0","","14","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-08","2014","01","08","","5.5","","-11.2","","-2.9","","20.9","","0.0","","","M","","M","","M","13","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-09","2014","01","09","","4.3","","-6.7","","-1.2","","19.2","","0.0","","","M","","M","0.0","","13","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-10","2014","01","10","","1.9","","-8.5","","-3.3","","21.3","","0.0","","","M","","M","0.0","","13","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-11","2014","01","11","","7.6","","-9.7","","-1.1","","19.1","","0.0","","","M","","M","0.0","","13","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-12","2014","01","12","","2.5","","-8.0","","-2.8","","20.8","","0.0","","","M","","M","0.7","","13","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-13","2014","01","13","","6.0","","-5.7","","0.2","","17.8","","0.0","","","M","","M","1.4","","13","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-14","2014","01","14","","8.7","","-8.3","","0.2","","17.8","","0.0","","","M","","M","0.2","","14","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-15","2014","01","15","","9.0","","-0.3","","4.4","","13.6","","0.0","","","M","","M","0.0","","12","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-16","2014","01","16","","8.9","","-3.4","","2.8","","15.2","","0.0","","","M","","M","0.0","","11","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-17","2014","01","17","","9.8","","-0.1","","4.9","","13.1","","0.0","","","M","","M","0.0","","11","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-18","2014","01","18","","12.8","","-4.4","","4.2","","13.8","","0.0","","","M","","M","0.0","","8","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-19","2014","01","19","","6.6","","-2.0","","2.3","","15.7","","0.0","","","M","","M","0.0","","6","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-20","2014","01","20","","4.5","","-7.4","","-1.5","","19.5","","0.0","","","M","","M","0.0","","5","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-21","2014","01","21","","2.7","","-5.3","","-1.3","","19.3","","0.0","","","M","","M","0.0","","6","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-22","2014","01","22","","-1.0","","-8.2","","-4.6","","22.6","","0.0","","","M","","M","0.7","","6","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-23","2014","01","23","","8.8","","-5.4","","1.7","","16.3","","0.0","","","M","","M","0.0","","6","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-24","2014","01","24","","12.2","","0.8","","6.5","","11.5","","0.0","","","M","","M","0.0","","5","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-25","2014","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-26","2014","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-27","2014","01","27","","-7.8","","-14.5","","-11.2","","29.2","","0.0","","","M","","M","0.0","","5","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-28","2014","01","28","","6.3","","-12.5","","-3.1","","21.1","","0.0","","","M","","M","0.0","","5","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-29","2014","01","29","","2.9","","-13.2","","-5.2","","23.2","","0.0","","","M","","M","2.4","","5","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-30","2014","01","30","","-10.5","","-17.6","","-14.1","","32.1","","0.0","","","M","","M","0.2","","9","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-01-31","2014","01","31","","-7.4","","-19.3","","-13.4","","31.4","","0.0","","","M","","M","0.0","","8","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-02-01","2014","02","01","","-6.9","","-17.9","","-12.4","","30.4","","0.0","","","M","","M","0.0","","5","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-02-02","2014","02","02","","-8.7","","-15.5","","-12.1","","30.1","","0.0","","","M","","M","0.0","","5","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-02-03","2014","02","03","","-11.9","","-21.0","","-16.5","","34.5","","0.0","","","M","","M","1.0","","5","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-02-04","2014","02","04","","-20.1","","-23.0","","-21.6","","39.6","","0.0","","","M","","M","0.0","","7","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2014-02-05","2014","02","05","","-19.6","","-27.5","","-23.6","","41.6","","0.0","","","M","","M","0.2","","7","","","M","","M"
