"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-01","2023","01","01","","1.8","","-9.2","","-3.7","","21.7","","0.0","","","","","","0.0","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-02","2023","01","02","","2.6","","-11.7","","-4.5","","22.5","","0.0","","","","","","0.0","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-03","2023","01","03","","1.0","","-13.9","","-6.4","","24.4","","0.0","","","","","","0.0","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-04","2023","01","04","","0.7","","-13.2","","-6.3","","24.3","","0.0","","","","","","0.0","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-05","2023","01","05","","-6.5","","-16.8","","-11.7","","29.7","","0.0","","","","","","0.0","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-06","2023","01","06","","8.0","","-7.6","","0.2","","17.8","","0.0","","","","","","0.0","","7","","27","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-07","2023","01","07","","6.3","","-5.0","","0.6","","17.4","","0.0","","","","","","0.0","","7","","28","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-08","2023","01","08","","2.8","","-6.3","","-1.7","","19.7","","0.0","","","","","","0.0","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-09","2023","01","09","","5.3","","-5.7","","-0.2","","18.2","","0.0","","","","","","0.0","","8","","29","","35",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-10","2023","01","10","","4.2","","-10.6","","-3.2","","21.2","","0.0","","","","","","0.0","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-11","2023","01","11","","-0.4","","-14.1","","-7.3","","25.3","","0.0","","","","","","0.0","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-12","2023","01","12","","4.9","","-11.7","","-3.4","","21.4","","0.0","","","","","","0.0","","7","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-01-13","2023","01","13","","6.9","","-4.2","","1.3","","16.7","","0.0","","","","","","0.0","","7","","","","",""
