"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-01","2024","01","01","","4.7","","-5.5","","-0.4","","18.4","","0.0","","","","","","2.3","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-02","2024","01","02","","2.8","","-8.3","","-2.7","","20.7","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-03","2024","01","03","","-4.1","","-8.1","","-6.1","","24.1","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-04","2024","01","04","","4.5","","-9.3","","-2.4","","20.4","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-05","2024","01","05","","3.1","","-6.0","","-1.4","","19.4","","0.0","","","","","","0.2","","","","36","","43",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-06","2024","01","06","","-0.5","","-9.7","","-5.1","","23.1","","0.0","","","","","","0.6","","","","36","","47",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-07","2024","01","07","","-9.6","","-19.0","","-14.3","","32.3","","0.0","","","","","","0.7","","1","","35","","50",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-08","2024","01","08","","-2.2","","-21.3","","-11.8","","29.8","","0.0","","","","","","0.0","","6","","29","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-09","2024","01","09","","-0.3","","-15.5","","-7.9","","25.9","","0.0","","","","","","1.1","","5","","35","","48",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-10","2024","01","10","","-15.3","","-24.6","","-19.9","","37.9","","0.0","","","","","","2.8","","11","","36","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-11","2024","01","11","","-24.6","","-32.4","","-28.5","","46.5","","0.0","","","","","","0.3","","11","","36","","43",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-12","2024","01","12","","-31.1","","-36.1","","-33.6","","51.6","","0.0","","","","","","0.0","","10","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-13","2024","01","13","","-26.8","","-36.4","","-31.6","","49.6","","0.0","","","","","","0.0","","10","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-14","2024","01","14","","-27.0","","-36.8","","-31.9","","49.9","","0.0","","","","","","0.0","","10","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-15","2024","01","15","","-8.8","","-34.4","","-21.6","","39.6","","0.0","","","","","","0.0","","10","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-16","2024","01","16","","-6.3","","-15.2","","-10.7","","28.7","","0.0","","","","","","2.0","","10","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-17","2024","01","17","","-15.0","","-18.4","","-16.7","","34.7","","0.0","","","","","","4.5","","13","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-18","2024","01","18","","-15.5","","-24.9","","-20.2","","38.2","","0.0","","","","","","0.1","","16","","35","","31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-19","2024","01","19","","-15.6","","-26.7","","-21.2","","39.2","","0.0","","","","","","0.0","","15","","18","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-20","2024","01","20","","-7.3","","-15.6","","-11.5","","29.5","","0.0","","","","","","0.0","","15","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-21","2024","01","21","","-11.7","","-13.3","","-12.5","","30.5","","0.0","","","","","","0.0","","15","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-22","2024","01","22","","-12.2","","-14.5","","-13.3","","31.3","","0.0","","","","","","0.1","","14","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-23","2024","01","23","","7.3","","-12.3","","-2.5","","20.5","","0.0","","","","","","0.0","","14","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-24","2024","01","24","","5.6","","-7.2","","-0.8","","18.8","","0.0","","","","","","0.0","","14","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-25","2024","01","25","","8.2","","0.2","","4.2","","13.8","","0.0","","","","","","0.0","","14","","28","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-26","2024","01","26","","8.6","","-4.1","","2.3","","15.7","","0.0","","","","","","0.0","","13","","28","","43",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-27","2024","01","27","","10.8","","-6.4","","2.2","","15.8","","0.0","","","","","","0.0","","13","","27","","46",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-28","2024","01","28","","10.8","","-1.5","","4.6","","13.4","","0.0","","","","","","0.0","","11","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-29","2024","01","29","","8.5","","-1.0","","3.8","","14.2","","0.0","","","","","","0.0","","9","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-30","2024","01","30","","14.5","","1.5","","8.0","","10.0","","0.0","","","","","","0.0","","9","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-01-31","2024","01","31","","8.5","","-3.8","","2.3","","15.7","","0.0","","","","","","0.0","","7","","20","","38",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-01","2024","02","01","","12.7","","0.8","","6.8","","11.2","","0.0","","","","","","0.0","","6","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-02","2024","02","02","","12.6","","-1.9","","5.4","","12.6","","0.0","","","","","","0.0","","4","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-03","2024","02","03","","5.0","","-3.1","","0.9","","17.1","","0.0","","","","","","0.7","","1","","34","","48",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-04","2024","02","04","","-2.6","","-7.5","","-5.1","","23.1","","0.0","","","","","","6.8","","0","","36","","38",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-05","2024","02","05","","-1.6","","-11.8","","-6.7","","24.7","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-06","2024","02","06","","-6.2","","-8.6","","-7.4","","25.4","","0.0","","","","","","0.2","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-07","2024","02","07","","-7.0","","-8.2","","-7.6","","25.6","","0.0","","","","","","0.8","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-08","2024","02","08","","-4.3","","-7.8","","-6.1","","24.1","","0.0","","","","","","0.2","","5","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-09","2024","02","09","","-3.1","","-11.4","","-7.3","","25.3","","0.0","","","","","","0.5","","13","","36","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-10","2024","02","10","","5.2","","-16.7","","-5.8","","23.8","","0.0","","","","","","0.0","","11","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-11","2024","02","11","","2.5","","-4.9","","-1.2","","19.2","","0.0","","","","","","0.0","","10","","1","","35",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-12","2024","02","12","","2.5","","-8.3","","-2.9","","20.9","","0.0","","","","","","0.0","","9","","34","","47",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-13","2024","02","13","","-3.8","","-14.2","","-9.0","","27.0","","0.0","","","","","","0.0","","9","","35","","39",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-14","2024","02","14","","-4.5","","-16.2","","-10.4","","28.4","","0.0","","","","","","0.0","","9","","32","","33",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-15","2024","02","15","","-8.2","","-18.2","","-13.2","","31.2","","0.0","","","","","","0.0","","9","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-16","2024","02","16","","3.7","","-19.3","","-7.8","","25.8","","0.0","","","","","","0.0","","9","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-17","2024","02","17","","6.2","","-12.6","","-3.2","","21.2","","0.0","","","","","","0.0","","8","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-18","2024","02","18","","4.5","","-13.7","","-4.6","","22.6","","0.0","","","","","","0.0","","8","","36","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-19","2024","02","19","","4.6","","-12.4","","-3.9","","21.9","","0.0","","","","","","0.0","","9","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-20","2024","02","20","","7.0","","-8.3","","-0.6","","18.6","","0.0","","","","","","0.0","","8","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-21","2024","02","21","","","M","","M","","M","","M","","M","","","","","","M","5","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-22","2024","02","22","","10.3","","-5.8","","2.2","","15.8","","0.0","","","","","","0.0","","4","","29","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-23","2024","02","23","","10.4","","3.4","","6.9","","11.1","","0.0","","","","","","0.0","","1","","28","","58",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-24","2024","02","24","","4.0","","-4.5","","-0.2","","18.2","","0.0","","","","","","0.2","","0","","35","","48",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-25","2024","02","25","","4.5","","-8.1","","-1.8","","19.8","","0.0","","","","","","0.0","","0","","22","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-26","2024","02","26","","-4.0","","-21.1","","-12.6","","30.6","","0.0","","","","","","0.0","","0","","1","","68",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-27","2024","02","27","","-17.1","","-22.5","","-19.8","","37.8","","0.0","","","","","","0.7","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-28","2024","02","28","","2.7","","-19.4","","-8.4","","26.4","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-02-29","2024","02","29","","9.7","","-10.8","","-0.5","","18.5","","0.0","","","","","","1.3","","0","","21","","64",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-03-01","2024","03","01","","-9.4","","-13.8","","-11.6","","29.6","","0.0","","","","","","0.7","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-03-02","2024","03","02","","-13.2","","-20.3","","-16.8","","34.8","","0.0","","","","","","4.8","","4","","2","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-03-03","2024","03","03","","-16.7","","-26.2","","-21.4","","39.4","","0.0","","","","","","0.0","","18","","35","","33",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-03-04","2024","03","04","","-16.3","","-21.4","","-18.9","","36.9","","0.0","","","","","","0.0","","13","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-03-05","2024","03","05","","-10.7","","-25.6","","-18.2","","36.2","","0.0","","","","","","0.0","","11","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-03-06","2024","03","06","","-8.3","","-20.0","","-14.1","","32.1","","0.0","","","","","","0.1","","11","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-03-07","2024","03","07","","2.2","","-21.2","","-9.5","","27.5","","0.0","","","","","","0.0","","11","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2024-03-08","2024","03","08","","6.8","","-11.1","","-2.1","","20.1","","0.0","","","","","","0.0","","10","","29","","45",""
