"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-01","2013","01","01","","1.3","","-8.4","","-3.6","","21.6","","0.0","","","M","","M","0.0","","20","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-02","2013","01","02","","5.7","","-10.8","","-2.6","","20.6","","0.0","","","M","","M","0.0","","19","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-03","2013","01","03","","8.6","","-8.6","","0.0","","18.0","","0.0","","","M","","M","0.0","","19","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-04","2013","01","04","","2.9","","-11.0","","-4.1","","22.1","","0.0","","","M","","M","0.0","","19","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-05","2013","01","05","","4.9","","-10.3","","-2.7","","20.7","","0.0","","","M","","M","0.0","","19","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-06","2013","01","06","","5.2","","-4.5","","0.4","","17.6","","0.0","","","M","","M","0.0","","19","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-07","2013","01","07","","2.5","","-10.4","","-4.0","","22.0","","0.0","","","M","","M","0.0","","19","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-08","2013","01","08","","1.4","","-4.0","","-1.3","","19.3","","0.0","","","M","","M","0.0","","19","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-09","2013","01","09","","6.6","","-10.0","","-1.7","","19.7","","0.0","","","M","","M","1.9","","18","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-10","2013","01","10","","-5.6","","-14.0","","-9.8","","27.8","","0.0","","","M","","M","0.8","","18","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-11","2013","01","11","","-11.7","","-19.5","","-15.6","","33.6","","0.0","","","M","","M","0.2","","19","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-12","2013","01","12","","-6.8","","-18.8","","-12.8","","30.8","","0.0","","","M","","M","0.0","","19","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-13","2013","01","13","","-7.0","","-13.8","","-10.4","","28.4","","0.0","","0.0","","","M","1.3","","18","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-14","2013","01","14","","3.0","","-11.7","","-4.4","","22.4","","0.0","","0.0","","","M","1.1","","19","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-15","2013","01","15","","8.0","","1.5","","4.8","","13.2","","0.0","","","M","","M","0.0","","23","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-16","2013","01","16","","6.6","","-5.0","","0.8","","17.2","","0.0","","","M","","M","0.0","","18","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-17","2013","01","17","","9.3","","-6.5","","1.4","","16.6","","0.0","","","M","","M","0.0","","18","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-18","2013","01","18","","7.7","","-2.7","","2.5","","15.5","","0.0","","","M","","M","0.0","","17","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-19","2013","01","19","","-1.5","","-10.0","","-5.8","","23.8","","0.0","","","M","","M","0.2","","16","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-20","2013","01","20","","-10.0","","-17.6","","-13.8","","31.8","","0.0","","","M","","M","0.0","","16","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-21","2013","01","21","","-2.2","","-13.6","","-7.9","","25.9","","0.0","","","M","","M","0.0","","16","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-22","2013","01","22","","-6.0","","-11.3","","-8.7","","26.7","","0.0","","","M","","M","0.0","","16","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-23","2013","01","23","","-11.1","","-13.5","","-12.3","","30.3","","0.0","","","M","","M","","M","16","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-24","2013","01","24","","3.7","","-13.1","","-4.7","","22.7","","0.0","","","M","","M","0.0","","16","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2013-01-25","2013","01","25","","5.8","","-5.8","","0.0","","18.0","","0.0","","","M","","M","0.0","","16","","","M","","M"
